Track,Artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Tag
Ignorance,Paramore,0.00109,0.522,0.964,0.000389,11.0,0.0387,-2.645,0.0,0.095,170.944,4.0,0.51,Erika
Teddy Picker,Arctic Monkeys,0.000413,0.637,0.973,2.23e-05,9.0,0.104,-3.386,1.0,0.112,150.223,4.0,0.8,Erika
Wildflowers,Tom Petty,0.588,0.537,0.315,2.29e-05,5.0,0.206,-13.79,1.0,0.0271,86.813,4.0,0.575,Erika
Don't Believe The Hype,Public Enemy,0.00968,0.873,0.688,0.0,11.0,0.138,-5.856,1.0,0.318,98.425,4.0,0.823,Giuliana
No Flockin',Kodak Black,0.0673,0.943,0.595,0.0,5.0,0.0839,-8.372,0.0,0.191,117.532,4.0,0.815,Giuliana
Summer,Calvin Harris,0.0211,0.596,0.856,0.0178,4.0,0.141,-3.556,0.0,0.0346,127.949,4.0,0.743,Andrea
Hay Algo en Ti,Luny Tunes,0.0115,0.842,0.681,2.65e-06,4.0,0.113,-8.149,0.0,0.0544,96.017,4.0,0.238,Gianluca
Forbidden Fruit (feat. Kendrick Lamar),J. Cole,0.546,0.84,0.504,0.00131,1.0,0.211,-9.354,1.0,0.383,110.027,4.0,0.406,Giuliana
Up All Night,Drake,0.00782,0.606,0.811,1.49e-05,7.0,0.349,-4.667,1.0,0.278,156.347,4.0,0.276,Giuliana
See You Again (feat. Charlie Puth),Wiz Khalifa,0.369,0.689,0.481,1.03e-06,10.0,0.0649,-7.503,1.0,0.0815,80.025,4.0,0.283,Giuliana
Just Playing (Dreams) - 2005 Remaster,The Notorious B.I.G.,0.5,0.773,0.668,0.0,6.0,0.118,-5.007,0.0,0.37,177.669,4.0,0.674,Giuliana
Go With The Flow,Queens of the Stone Age,0.0148,0.242,0.992,0.113,4.0,0.833,-3.9,0.0,0.0988,159.37,4.0,0.374,Erika
(sic),Slipknot,0.000536,0.38,0.994,0.00128,7.0,0.0956,-4.638,1.0,0.124,96.325,4.0,0.267,Erika
Stay Together For The Kids,blink-182,0.00165,0.519,0.78,2.14e-05,2.0,0.156,-4.939,1.0,0.0356,145.125,4.0,0.166,Erika
Soul Survivor,Jeezy,0.00103,0.682,0.483,0.0,10.0,0.159,-7.718,1.0,0.0451,84.012,4.0,0.108,Giuliana
Collard Greens,ScHoolboy Q,0.025,0.825,0.575,9.94e-06,11.0,0.205,-4.87,1.0,0.0633,153.954,4.0,0.65,Giuliana
All I Want,The Offspring,0.01,0.205,0.973,0.0,6.0,0.393,-3.389,0.0,0.124,172.689,4.0,0.565,Erika
My December,Linkin Park,0.375,0.73,0.585,0.0101,0.0,0.147,-9.274,1.0,0.0238,100.021,4.0,0.721,Erika
The God That Failed (Remastered),Metallica,0.000451,0.551,0.813,0.000123,8.0,0.174,-6.406,1.0,0.0363,83.046,4.0,0.431,Erika
El Mañana,Gorillaz,0.000988,0.644,0.728,0.0279,9.0,0.473,-8.396,0.0,0.029,132.488,4.0,0.607,Erika
EWIGKEIT - REMIX,erobé,0.0272,0.715,0.845,0.000709,6.0,0.21,-4.183,1.0,0.137,170.028,4.0,0.647,Andrea
Only God Can Judge Me (ft. Rappin' 4-Tay),2Pac,0.00127,0.802,0.787,0.000181,11.0,0.0763,-6.009,0.0,0.206,90.189,4.0,0.806,Giuliana
Throwing It All Away - 2007 Remaster,Genesis,0.144,0.377,0.606,0.00877,6.0,0.0879,-7.409,1.0,0.0262,83.972,4.0,0.291,Erika
Love Removal Machine,The Cult,0.00217,0.323,0.857,0.000502,7.0,0.0567,-6.972,1.0,0.109,137.537,4.0,0.64,Erika
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),Juicy J,0.00212,0.871,0.743,0.0,2.0,0.141,-5.442,1.0,0.277,130.977,4.0,0.576,Giuliana
Are You In?,Incubus,0.24,0.526,0.587,0.243,2.0,0.886,-8.733,1.0,0.039,93.986,4.0,0.364,Erika
Luna - 2011 Remaster,The Smashing Pumpkins,0.0111,0.574,0.274,0.786,9.0,0.123,-13.553,1.0,0.0286,125.652,4.0,0.111,Erika
Robotic Arms,Adam Beyer,0.0453,0.494,0.91,0.757,1.0,0.327,-4.407,0.0,0.0694,132.014,4.0,0.14,Andrea
The Thing,Pixies,0.362,0.73,0.54,0.00334,0.0,0.0419,-9.046,0.0,0.045,109.76,4.0,0.977,Erika
Check It Out,John Mellencamp,0.0176,0.608,0.834,1.8e-05,0.0,0.12,-3.584,1.0,0.0239,105.782,4.0,0.615,Erika
Remedy,The Black Crowes,0.00138,0.411,0.978,3.97e-06,10.0,0.0782,-3.801,0.0,0.0532,160.478,4.0,0.353,Erika
Hey Ladies,Beastie Boys,0.286,0.949,0.728,0.0,1.0,0.0465,-10.653,1.0,0.211,101.718,4.0,0.795,Erika
Attack,Alignment,0.000249,0.639,0.975,0.749,3.0,0.204,-6.934,1.0,0.0732,144.011,4.0,0.0302,Andrea
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",The Smiths,0.534,0.241,0.468,0.0,2.0,0.161,-9.579,1.0,0.0272,91.581,3.0,0.451,Erika
500lbs,Lil Tecca,0.134,0.731,0.667,0.0,7.0,0.114,-7.928,0.0,0.0815,123.042,4.0,0.485,Giuliana
Shadow Moses,Bring Me The Horizon,0.000235,0.456,0.985,0.00368,6.0,0.103,-2.949,1.0,0.207,143.006,4.0,0.183,Erika
Master of Puppets (Remastered),Metallica,0.00067,0.539,0.828,0.421,4.0,0.154,-9.108,0.0,0.035,105.25,4.0,0.562,Erika
How Deep Is Your Love,Calvin Harris,0.0392,0.738,0.868,0.00169,11.0,0.388,-4.373,0.0,0.0731,122.003,4.0,0.336,Andrea
Plainsong - 2010 Remaster,The Cure,0.00451,0.361,0.428,0.66,0.0,0.0879,-9.282,1.0,0.0306,86.884,4.0,0.125,Erika
Love Me,Lil Wayne,0.0125,0.669,0.634,0.0,11.0,0.0946,-6.476,1.0,0.0327,124.906,4.0,0.496,Giuliana
Little Black Submarines,The Black Keys,0.161,0.365,0.466,6.68e-06,2.0,0.106,-7.514,1.0,0.0418,95.163,4.0,0.487,Erika
Bones,Imagine Dragons,0.0206,0.773,0.742,0.0,5.0,0.0754,-3.678,0.0,0.046,114.071,4.0,0.571,Erika
Microphone Fiend,Eric B. & Rakim,0.354,0.586,0.795,0.0,11.0,0.187,-8.71,1.0,0.258,94.101,4.0,0.694,Giuliana
Escápate Conmigo - Remix,Wolfine,0.191,0.826,0.881,2.7e-05,8.0,0.347,-7.755,1.0,0.0974,93.997,4.0,0.737,Gianluca
Ayer La Vi,Don Omar,0.285,0.801,0.716,1e-05,7.0,0.163,-8.398,0.0,0.0541,94.005,4.0,0.771,Gianluca
Drive,Incubus,0.0562,0.645,0.792,0.0121,4.0,0.119,-7.34,0.0,0.036,90.565,4.0,0.666,Erika
El Doctorado,Tony Dize,0.0496,0.719,0.773,0.0,10.0,0.291,-6.272,1.0,0.0377,120.018,4.0,0.759,Gianluca
Notorious - 2010 Remaster,Duran Duran,0.589,0.806,0.681,0.0,0.0,0.0346,-10.65,1.0,0.0627,106.564,4.0,0.858,Erika
Stay Schemin,Rick Ross,0.0621,0.541,0.734,0.0,7.0,0.12,-4.232,0.0,0.166,162.304,4.0,0.321,Giuliana
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,0.0265,0.658,0.535,0.0,9.0,0.2,-8.983,0.0,0.0573,110.684,4.0,0.419,Giuliana
Trust Issues,Drake,0.779,0.421,0.539,0.0,11.0,0.111,-5.456,0.0,0.274,89.177,3.0,0.523,Giuliana
Unskinny Bop,Poison,0.0657,0.574,0.93,7.78e-06,1.0,0.108,-2.949,1.0,0.0413,92.303,4.0,0.69,Erika
One Weak,Deftones,0.00148,0.274,0.658,0.0276,11.0,0.115,-7.565,0.0,0.06,153.325,4.0,0.496,Erika
Show Me (feat. Chris Brown),Kid Ink,0.0355,0.711,0.508,0.0,7.0,0.141,-7.299,1.0,0.0502,98.098,4.0,0.663,Giuliana
Punto y Aparte,Tego Calderón,0.255,0.808,0.767,0.0197,1.0,0.0886,-4.912,0.0,0.0445,94.998,4.0,0.722,Gianluca
Until It Sleeps,Metallica,0.000223,0.562,0.919,0.113,8.0,0.142,-4.458,0.0,0.0293,113.357,4.0,0.728,Erika
New Moon,Domek,0.00385,0.681,0.906,0.812,11.0,0.109,-7.047,1.0,0.0641,130.011,4.0,0.311,Andrea
I Know It's Over - 2011 Remaster,The Smiths,0.0847,0.407,0.424,0.0,0.0,0.234,-10.583,1.0,0.0318,113.311,3.0,0.404,Erika
A Long December,Counting Crows,0.472,0.388,0.579,0.00055,5.0,0.219,-6.983,1.0,0.0286,70.662,4.0,0.381,Erika
The Outsider,A Perfect Circle,0.000111,0.328,0.843,0.801,6.0,0.0496,-6.644,1.0,0.0887,113.329,4.0,0.422,Erika
Hunger Strike,Temple Of The Dog,0.0236,0.373,0.567,3.47e-06,7.0,0.0916,-10.835,1.0,0.032,137.789,4.0,0.298,Erika
Fire Your Guns,AC/DC,0.00135,0.551,0.96,6.54e-06,9.0,0.0941,-3.284,1.0,0.0508,98.879,4.0,0.515,Erika
Painkiller,Judas Priest,0.000195,0.435,0.987,0.0847,1.0,0.268,-4.667,0.0,0.16,103.16,4.0,0.101,Erika
Still Dreaming,Nas,0.105,0.547,0.825,0.000248,7.0,0.14,-8.499,1.0,0.212,119.743,5.0,0.589,Giuliana
Shine,Collective Soul,0.295,0.543,0.423,0.0862,6.0,0.152,-8.797,1.0,0.0282,150.132,4.0,0.355,Erika
Snap Out Of It,Arctic Monkeys,0.249,0.728,0.638,0.0,5.0,0.116,-6.455,0.0,0.0336,130.014,4.0,0.872,Erika
Mama Said Knock You Out,LL COOL J,0.0314,0.791,0.759,0.674,10.0,0.255,-7.378,0.0,0.129,102.382,4.0,0.619,Giuliana
Are You Ready,AC/DC,0.0165,0.452,0.821,3.53e-06,7.0,0.13,-4.816,1.0,0.0324,108.529,4.0,0.414,Erika
Find Your Love,Drake,0.0211,0.627,0.614,0.0,6.0,0.0286,-6.006,0.0,0.17,96.038,4.0,0.758,Giuliana
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,0.188,0.845,0.631,0.0,7.0,0.0806,-8.206,0.0,0.216,111.983,4.0,0.545,Giuliana
Le roi s'amuse: Pavane,Léo Delibes,0.951,0.199,0.0116,0.945,10.0,0.152,-33.62,1.0,0.0389,90.921,4.0,0.241,Laura
We're Ready,Boston,0.615,0.344,0.497,0.000246,4.0,0.151,-14.547,1.0,0.0395,134.169,4.0,0.375,Erika
O Green World,Gorillaz,0.00201,0.672,0.768,0.905,0.0,0.136,-7.718,1.0,0.0347,122.583,4.0,0.858,Erika
Fashion Killa,A$AP Rocky,0.292,0.801,0.819,0.0,11.0,0.515,-5.189,1.0,0.158,139.969,4.0,0.811,Giuliana
Life Goes On,2Pac,0.124,0.644,0.846,0.0,7.0,0.353,-5.443,1.0,0.275,79.182,4.0,0.503,Giuliana
Rhymin & Stealin,Beastie Boys,0.0361,0.513,0.964,2.91e-06,5.0,0.0972,-5.773,1.0,0.103,152.209,4.0,0.348,Erika
No More Parties In LA,Kanye West,0.246,0.508,0.921,0.0,5.0,0.221,-1.644,1.0,0.303,93.058,4.0,0.681,Giuliana
Ain't It Fun,Paramore,0.154,0.61,0.893,4.41e-05,9.0,0.021,-3.681,1.0,0.0921,104.031,4.0,0.673,Erika
Good - Edit,DJ Jordan,0.0017,0.688,0.949,0.761,7.0,0.0936,-6.335,1.0,0.0437,131.994,4.0,0.318,Andrea
Candles,Juice WRLD,0.373,0.715,0.574,0.0,7.0,0.174,-6.236,1.0,0.0817,157.0,4.0,0.337,Giuliana
What's Your Fantasy (Featuring Shawna),Ludacris,0.16,0.915,0.79,0.0,6.0,0.112,-3.186,0.0,0.207,140.095,4.0,0.967,Giuliana
Demons,A$AP Rocky,0.0976,0.462,0.848,0.0,7.0,0.124,-4.386,1.0,0.243,139.832,4.0,0.378,Giuliana
I'm Back,Eminem,0.0146,0.878,0.595,6.8e-05,11.0,0.328,-3.924,0.0,0.203,89.995,4.0,0.851,Giuliana
Industrial - Mattia Trani Remix,MAIKE DEPAS,1.71e-05,0.614,0.946,0.791,4.0,0.0917,-6.271,0.0,0.046,144.987,3.0,0.746,Andrea
Easter Parade: Shakin' the Blues Away,Judy Garland,0.98,0.461,0.241,0.000529,8.0,0.498,-16.605,1.0,0.0787,90.838,4.0,0.65,Laura
In One Ear,Cage The Elephant,0.000258,0.326,0.948,0.0,1.0,0.367,-4.315,0.0,0.0606,166.397,4.0,0.358,Erika
Gangsta Gangsta,N.W.A.,0.0279,0.894,0.698,3.56e-06,6.0,0.329,-8.264,0.0,0.275,98.104,4.0,0.695,Giuliana
Mo'murda,Bone Thugs-N-Harmony,0.0775,0.746,0.727,0.0,11.0,0.585,-8.787,1.0,0.147,152.084,4.0,0.517,Giuliana
B.Y.O.B.,System Of A Down,0.00662,0.538,0.981,0.0,1.0,0.219,-2.688,0.0,0.14,101.414,4.0,0.711,Erika
I'm Bad,LL COOL J,0.000917,0.624,0.435,1.17e-06,2.0,0.41,-15.44,1.0,0.245,179.267,4.0,0.735,Giuliana
Starships,Nicki Minaj,0.135,0.747,0.716,0.0,11.0,0.251,-2.457,0.0,0.075,125.008,4.0,0.751,Giuliana
Foreign,Playboi Carti,0.0906,0.762,0.705,0.0,6.0,0.17,-5.195,0.0,0.164,122.955,4.0,0.264,Giuliana
10:35,Tiësto,0.0683,0.696,0.793,3.78e-06,8.0,0.18,-5.733,1.0,0.097,120.003,4.0,0.698,Andrea
Carrie,Europe,0.114,0.455,0.487,2.43e-06,7.0,0.358,-7.112,1.0,0.0264,136.482,4.0,0.139,Erika
Renegade,JAY-Z,0.399,0.561,0.774,1.84e-06,1.0,0.189,-3.144,0.0,0.447,77.621,1.0,0.82,Giuliana
Walk This Way (feat. Aerosmith),Run–D.M.C.,0.0174,0.761,0.711,0.000101,9.0,0.0652,-7.989,1.0,0.0604,105.448,4.0,0.947,Giuliana
Lonely,Patrick Scuro,0.0184,0.652,0.908,0.447,6.0,0.282,-9.197,0.0,0.0376,134.993,4.0,0.295,Andrea
Dein Ist Mein Ganzes Herz,Franz Lehár,0.973,0.385,0.316,3.02e-05,1.0,0.0912,-8.656,1.0,0.0354,115.435,3.0,0.349,Laura
Talk Show Host,Radiohead,0.277,0.536,0.479,0.0285,5.0,0.139,-14.112,0.0,0.031,88.831,4.0,0.504,Erika
Weird Fishes/ Arpeggi,Radiohead,0.772,0.531,0.61,0.756,11.0,0.0908,-8.025,0.0,0.0387,152.958,4.0,0.199,Erika
Figaro,Madvillain,0.188,0.836,0.812,1.82e-06,2.0,0.0982,-6.985,1.0,0.215,92.009,4.0,0.769,Giuliana
We Can Work It Out - Remastered 2015,The Beatles,0.0635,0.378,0.677,0.0,2.0,0.183,-8.63,1.0,0.0298,106.071,4.0,0.648,Erika
Black & White,Patrick Scuro,0.0198,0.677,0.939,0.824,6.0,0.133,-5.298,1.0,0.0405,133.987,4.0,0.168,Andrea
Cold Heart - PNAU Remix,Elton John,0.034,0.796,0.798,4.19e-05,1.0,0.0952,-6.312,1.0,0.0317,116.032,4.0,0.942,Erika
The Motto (Techno),FUTURAMI,0.0372,0.836,0.91,0.00199,10.0,0.249,-4.656,1.0,0.0876,139.963,4.0,0.575,Andrea
Brianstorm,Arctic Monkeys,8.39e-05,0.421,0.98,0.00125,1.0,0.237,-4.229,1.0,0.212,165.193,4.0,0.435,Erika
Everytime (Techno),Astech,0.274,0.775,0.814,5.04e-05,9.0,0.146,-8.253,1.0,0.264,149.989,4.0,0.382,Andrea
Baby I'm Yours,Arctic Monkeys,0.215,0.462,0.595,0.0,2.0,0.184,-9.363,1.0,0.0347,113.719,4.0,0.64,Erika
Time,Patrick Scuro,4.96e-05,0.656,0.824,0.456,5.0,0.344,-7.075,0.0,0.0603,140.007,4.0,0.326,Andrea
Chalk Outline,Three Days Grace,0.000567,0.59,0.792,0.0,7.0,0.0448,-5.013,1.0,0.0603,153.023,4.0,0.663,Erika
(Nothing But) Flowers - 2005 Remaster,Talking Heads,0.0507,0.604,0.842,0.000193,4.0,0.218,-5.314,0.0,0.0407,120.769,4.0,0.913,Erika
Man in the Box,Alice In Chains,0.00045,0.355,0.791,0.0,8.0,0.0969,-7.565,1.0,0.0453,106.392,4.0,0.758,Erika
Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,0.511,0.691,0.64,0.0,0.0,0.409,-6.441,1.0,0.369,138.672,4.0,0.163,Giuliana
Tha Crossroads,Bone Thugs-N-Harmony,0.0856,0.679,0.509,0.0,4.0,0.438,-7.31,1.0,0.0617,144.29,4.0,0.534,Giuliana
PRIDE.,Kendrick Lamar,0.0786,0.665,0.535,1.68e-05,4.0,0.154,-7.056,0.0,0.0572,138.842,4.0,0.37,Giuliana
"Hard, Loud and Dirty",NOTMYTYPE,0.0105,0.634,0.978,0.678,11.0,0.463,-7.963,0.0,0.0569,154.036,4.0,0.627,Andrea
Reality Is a Lie,Ben Dust,0.00178,0.676,0.925,0.72,0.0,0.0978,-10.128,1.0,0.0546,134.972,4.0,0.0398,Andrea
Make Me Proud,Drake,0.00268,0.684,0.486,0.000148,1.0,0.157,-10.155,1.0,0.132,131.913,4.0,0.355,Giuliana
Downer,Nirvana,0.00101,0.303,0.931,0.0294,4.0,0.114,-9.306,0.0,0.0574,101.936,4.0,0.555,Erika
My Name (feat. Eminem & Nate Dogg),Xzibit,0.151,0.841,0.739,5.9e-05,11.0,0.0897,-5.111,0.0,0.206,85.891,4.0,0.571,Giuliana
Childs Play,Drake,0.0175,0.746,0.475,1.1e-05,10.0,0.197,-11.243,0.0,0.113,80.006,4.0,0.292,Giuliana
Everlong - Acoustic Version,Foo Fighters,0.909,0.643,0.344,0.0112,2.0,0.106,-11.342,1.0,0.0349,144.171,4.0,0.547,Erika
Stay,Post Malone,0.449,0.507,0.48,0.0,5.0,0.147,-5.418,1.0,0.0266,86.046,4.0,0.35,Giuliana
The Man Comes Around,Johnny Cash,0.52,0.635,0.584,0.0951,0.0,0.962,-7.912,1.0,0.144,97.067,4.0,0.753,Erika
Blow At High Dough,The Tragically Hip,0.00353,0.691,0.59,0.013,4.0,0.112,-11.552,1.0,0.0388,121.871,4.0,0.34,Erika
Just Breathe,Pearl Jam,0.721,0.473,0.348,7.42e-05,0.0,0.0823,-11.1,1.0,0.0288,107.819,4.0,0.283,Erika
Seven Wonders - 2017 Remaster,Fleetwood Mac,0.0259,0.707,0.625,5.42e-05,4.0,0.104,-9.529,1.0,0.0303,119.049,4.0,0.634,Erika
Father Stretch My Hands Pt. 1,Kanye West,0.118,0.724,0.573,0.0,7.0,0.538,-4.113,1.0,0.0549,113.088,4.0,0.438,Giuliana
Just like Heaven - 2006 Remaster,The Cure,0.0524,0.442,0.935,0.000307,9.0,0.188,-6.903,1.0,0.0424,151.448,4.0,0.514,Erika
The Good Life,Three Days Grace,0.000345,0.548,0.911,0.0,10.0,0.23,-3.701,1.0,0.0397,128.036,4.0,0.654,Erika
Never Say Goodbye,Bon Jovi,0.0522,0.326,0.797,0.0,2.0,0.081,-2.359,1.0,0.0334,135.937,4.0,0.271,Erika
